film_id,genre,director_name,title,length,rating
1,comedy,David Dixon,Candidate mean cover start environment interview those.,1.16,61.00184253535795
2,scifi,Abigail Guzman,Himself foreign very hand Mrs build.,2.0500000000000003,47.811236604707766
3,documentary,Kimberly Ramirez,Machine red method view sort oil.,1.48,50.96529354184685
4,documentary,Kayla Santana,Event policy mind.,1.8699999999999999,66.50320185310355
5,documentary,Tyler Garcia,Help him sister ahead general spring.,2.14,56.02516148366602
6,comedy,Jennifer Gray,Gas why play economic however sound such produce.,1.56,73.52237363063949
7,comedy,Jason Barton,Hope consider never color.,3.0,41.613484007441244
8,romance,Elijah Reynolds,Strong list throw size budget commercial.,1.09,49.72595405974268
9,documentary,Brenda Woodward,Allow someone wrong animal.,2.45,41.68336222082209
10,comedy,Willie Martinez,Indeed region design pull report particular gun per.,1.39,55.510655178155815
11,documentary,Samantha Jackson,Store enter choose trouble.,1.6199999999999999,60.67539381738551
12,scifi,Christine Hatfield,Issue behind country win again sport.,2.1,55.266599546110825
13,documentary,Joseph Fowler,Must effect wish seem.,1.9,33.06991606075921
14,documentary,Wayne Huynh,Generation management image successful here will support.,2.2600000000000002,52.364285093021685
15,romance,Elizabeth Hall,Suggest later our.,2.46,53.46493211865797
16,comedy,Jon Salazar,Body month student watch pressure power decision ground.,0.5700000000000001,44.750591619091466
17,documentary,Jerry Yoder,General war clear off.,1.2,61.100652525128666
18,scifi,Robert Phillips,Opportunity current day choose voice.,1.97,28.095223393050244
19,documentary,Justin Neal,Mouth college similar green.,2.9000000000000004,55.82618983332942
20,romance,Brad Potter,Thing director hotel stock generation.,2.74,44.04290582834224
21,comedy,Douglas Miller,On agree hot election various.,1.23,33.054380387073294
22,documentary,Matthew Horn,Fire owner west suggest.,1.93,44.77126737230617
23,romance,Angela Mann,Decide foot early minute soldier.,1.12,42.196996787256246
24,scifi,Jerry Stevens,Both song weight seat peace.,3.14,52.298920659380066
25,romance,Jose Johnson,Woman through move TV suffer against.,0.25,42.34045180218579
26,scifi,Jasmine Jones,Order land school pattern boy instead some card.,2.06,33.66550756444728
27,comedy,Cameron Garcia,Member despite from these society street.,2.5,47.47006220787391
28,romance,Samantha Miranda,Black able test popular relationship interview economic team.,1.9,53.7370158885315
29,documentary,Molly Jones,Do similar machine others.,2.16,41.74239114876348
30,documentary,Elijah Taylor,Commercial test discussion movement during after.,1.57,39.183730496138935
31,comedy,Brandi Rivera,Remain everyone remember they.,1.75,47.265403787309545
32,comedy,Clinton Lopez,Yard read enjoy physical difference.,1.91,56.90106528955864
33,documentary,Lisa Ramirez,Expect change experience four pay within attorney.,1.29,47.3194219704272
34,documentary,Whitney Reyes,Conference trouble some security commercial land reduce myself.,2.6100000000000003,39.675889936483344
35,romance,Cheryl Elliott,Suggest name fire boy do question.,2.54,44.291884827222155
36,scifi,Linda Rose,Smile at somebody next.,1.6099999999999999,62.264924557862116
37,documentary,Jean Peters,Admit nearly pattern challenge your democratic.,1.94,73.04938812060098
38,comedy,John Daniel,Act career enough hear.,1.54,40.89438876947077
39,comedy,Anthony Ayala,Officer phone exactly product plant better suffer.,1.2,53.23796079645379
40,comedy,Philip Walls,Authority spend management than occur.,2.2,58.59304794939731
41,documentary,Shane Horne,Rule music everybody shake court.,1.71,37.607883673992916
42,romance,April Perkins,Around off law leave step two never these.,0.5700000000000001,36.967523354875944
43,documentary,Erika Mcdonald,Production both part rule so animal impact.,1.9,54.94872089636083
44,documentary,Carol Davis,Against grow court body people.,1.1,41.73489397893816
