film_id=1, genre='comedy', director_name='David Dixon', title='Candidate mean cover start environment interview those.', length=1.16, rating=61.00184253535795
film_id=2, genre='scifi', director_name='Abigail Guzman', title='Himself foreign very hand Mrs build.', length=2.0500000000000003, rating=47.811236604707766
film_id=3, genre='documentary', director_name='Kimberly Ramirez', title='Machine red method view sort oil.', length=1.48, rating=50.96529354184685
film_id=4, genre='documentary', director_name='Kayla Santana', title='Event policy mind.', length=1.8699999999999999, rating=66.50320185310355
film_id=5, genre='documentary', director_name='Tyler Garcia', title='Help him sister ahead general spring.', length=2.14, rating=56.02516148366602
film_id=6, genre='comedy', director_name='Jennifer Gray', title='Gas why play economic however sound such produce.', length=1.56, rating=73.52237363063949
film_id=7, genre='comedy', director_name='Jason Barton', title='Hope consider never color.', length=3.0, rating=41.613484007441244
film_id=8, genre='romance', director_name='Elijah Reynolds', title='Strong list throw size budget commercial.', length=1.09, rating=49.72595405974268
film_id=9, genre='documentary', director_name='Brenda Woodward', title='Allow someone wrong animal.', length=2.45, rating=41.68336222082209
film_id=10, genre='comedy', director_name='Willie Martinez', title='Indeed region design pull report particular gun per.', length=1.39, rating=55.510655178155815
film_id=11, genre='documentary', director_name='Samantha Jackson', title='Store enter choose trouble.', length=1.6199999999999999, rating=60.67539381738551
film_id=12, genre='scifi', director_name='Christine Hatfield', title='Issue behind country win again sport.', length=2.1, rating=55.266599546110825
film_id=13, genre='documentary', director_name='Joseph Fowler', title='Must effect wish seem.', length=1.9, rating=33.06991606075921
film_id=14, genre='documentary', director_name='Wayne Huynh', title='Generation management image successful here will support.', length=2.2600000000000002, rating=52.364285093021685
film_id=15, genre='romance', director_name='Elizabeth Hall', title='Suggest later our.', length=2.46, rating=53.46493211865797
film_id=16, genre='comedy', director_name='Jon Salazar', title='Body month student watch pressure power decision ground.', length=0.5700000000000001, rating=44.750591619091466
film_id=17, genre='documentary', director_name='Jerry Yoder', title='General war clear off.', length=1.2, rating=61.100652525128666
film_id=18, genre='scifi', director_name='Robert Phillips', title='Opportunity current day choose voice.', length=1.97, rating=28.095223393050244
film_id=19, genre='documentary', director_name='Justin Neal', title='Mouth college similar green.', length=2.9000000000000004, rating=55.82618983332942
film_id=20, genre='romance', director_name='Brad Potter', title='Thing director hotel stock generation.', length=2.74, rating=44.04290582834224
film_id=21, genre='comedy', director_name='Douglas Miller', title='On agree hot election various.', length=1.23, rating=33.054380387073294
film_id=22, genre='documentary', director_name='Matthew Horn', title='Fire owner west suggest.', length=1.93, rating=44.77126737230617
film_id=23, genre='romance', director_name='Angela Mann', title='Decide foot early minute soldier.', length=1.12, rating=42.196996787256246
film_id=24, genre='scifi', director_name='Jerry Stevens', title='Both song weight seat peace.', length=3.14, rating=52.298920659380066
film_id=25, genre='romance', director_name='Jose Johnson', title='Woman through move TV suffer against.', length=0.25, rating=42.34045180218579
film_id=26, genre='scifi', director_name='Jasmine Jones', title='Order land school pattern boy instead some card.', length=2.06, rating=33.66550756444728
film_id=27, genre='comedy', director_name='Cameron Garcia', title='Member despite from these society street.', length=2.5, rating=47.47006220787391
film_id=28, genre='romance', director_name='Samantha Miranda', title='Black able test popular relationship interview economic team.', length=1.9, rating=53.7370158885315
film_id=29, genre='documentary', director_name='Molly Jones', title='Do similar machine others.', length=2.16, rating=41.74239114876348
film_id=30, genre='documentary', director_name='Elijah Taylor', title='Commercial test discussion movement during after.', length=1.57, rating=39.183730496138935
film_id=31, genre='comedy', director_name='Brandi Rivera', title='Remain everyone remember they.', length=1.75, rating=47.265403787309545
film_id=32, genre='comedy', director_name='Clinton Lopez', title='Yard read enjoy physical difference.', length=1.91, rating=56.90106528955864
film_id=33, genre='documentary', director_name='Lisa Ramirez', title='Expect change experience four pay within attorney.', length=1.29, rating=47.3194219704272
film_id=34, genre='documentary', director_name='Whitney Reyes', title='Conference trouble some security commercial land reduce myself.', length=2.6100000000000003, rating=39.675889936483344
film_id=35, genre='romance', director_name='Cheryl Elliott', title='Suggest name fire boy do question.', length=2.54, rating=44.291884827222155
film_id=36, genre='scifi', director_name='Linda Rose', title='Smile at somebody next.', length=1.6099999999999999, rating=62.264924557862116
film_id=37, genre='documentary', director_name='Jean Peters', title='Admit nearly pattern challenge your democratic.', length=1.94, rating=73.04938812060098
film_id=38, genre='comedy', director_name='John Daniel', title='Act career enough hear.', length=1.54, rating=40.89438876947077
film_id=39, genre='comedy', director_name='Anthony Ayala', title='Officer phone exactly product plant better suffer.', length=1.2, rating=53.23796079645379
film_id=40, genre='comedy', director_name='Philip Walls', title='Authority spend management than occur.', length=2.2, rating=58.59304794939731
film_id=41, genre='documentary', director_name='Shane Horne', title='Rule music everybody shake court.', length=1.71, rating=37.607883673992916
film_id=42, genre='romance', director_name='April Perkins', title='Around off law leave step two never these.', length=0.5700000000000001, rating=36.967523354875944
film_id=43, genre='documentary', director_name='Erika Mcdonald', title='Production both part rule so animal impact.', length=1.9, rating=54.94872089636083
film_id=44, genre='documentary', director_name='Carol Davis', title='Against grow court body people.', length=1.1, rating=41.73489397893816
film_id=45, genre='scifi', director_name='Mrs. Terri Bright MD', title='Security heart goal color total responsibility might into.', length=2.06, rating=63.07363115913981
film_id=46, genre='scifi', director_name='Patrick Roberts', title='Movement tough candidate win fish ten career responsibility.', length=1.8499999999999999, rating=41.102548968212076
film_id=47, genre='romance', director_name='Jason Dixon', title='Heavy act much just leader.', length=2.11, rating=59.97931625807395
film_id=48, genre='scifi', director_name='Karen Swanson', title='Every at mission newspaper phone while mission.', length=2.8800000000000003, rating=46.80555881711337
film_id=49, genre='romance', director_name='Luis Garcia', title='Team business property once break western particular economy.', length=1.22, rating=45.575055796146856
film_id=50, genre='scifi', director_name='Javier Garcia', title='Decide your above production follow argue institution such.', length=0.29000000000000004, rating=60.62659092876589
